Gemeente,Jaar,Totaal,A,BF,GN,OU
Aa en Hunze,2008,5.03,0.00,0.83,2.54,1.63
Aa en Hunze,2009,4.97,0.04,0.78,2.33,1.82
Aa en Hunze,2010,5.27,0.04,0.81,2.52,1.90
Aa en Hunze,2011,5.04,0.03,0.76,2.39,1.86
Aa en Hunze,2012,4.67,0.05,0.61,2.15,1.86
Aa en Hunze,2013,5.06,0.05,0.59,1.97,2.45
Aa en Hunze,2014,5.41,0.05,0.59,2.08,2.70
Aalburg,2008,3.21,0.15,0.84,1.69,0.54
Aalburg,2009,3.22,0.14,0.79,1.64,0.66
Aalburg,2010,3.35,0.11,0.73,1.83,0.68
Aalburg,2011,3.28,0.13,0.67,1.86,0.62
Aalburg,2012,3.34,0.13,0.63,1.82,0.76
Aalburg,2013,3.32,0.14,0.62,1.78,0.78
Aalburg,2014,3.26,0.14,0.67,1.77,0.68
Aalsmeer,2008,15.36,0.88,1.55,10.82,2.11
Aalsmeer,2009,15.04,0.77,1.55,10.49,2.24
Aalsmeer,2010,15.12,0.60,1.54,10.45,2.52
Aalsmeer,2011,15.54,0.62,1.48,10.94,2.49
Aalsmeer,2012,14.41,0.58,1.48,10.10,2.25
Aalsmeer,2013,15.54,0.55,1.26,11.53,2.19
Aalsmeer,2014,16.49,0.58,1.29,12.56,2.07
Aalten,2008,9.56,0.25,3.48,3.12,2.70
Aalten,2009,9.23,0.23,3.10,3.21,2.69
Aalten,2010,9.26,0.24,3.31,3.16,2.55
Aalten,2011,9.11,0.26,3.11,3.39,2.35
Aalten,2012,8.46,0.24,2.90,3.10,2.22
Aalten,2013,8.23,0.24,2.83,2.93,2.23
Aalten,2014,7.96,0.24,2.63,2.92,2.16
Achtkarspelen,2008,7.42,0.18,2.39,3.01,1.84
Achtkarspelen,2009,6.81,0.18,2.27,2.91,1.46
Achtkarspelen,2010,7.54,0.17,2.31,3.03,2.02
Achtkarspelen,2011,7.29,0.16,2.20,3.00,1.93
Achtkarspelen,2012,6.95,0.17,1.99,2.86,1.93
Achtkarspelen,2013,6.30,0.17,1.52,2.79,1.82
Achtkarspelen,2014,6.59,0.17,1.80,2.81,1.81
Alblasserdam,2008,8.54,0.00,1.87,5.50,1.16
Alblasserdam,2009,8.47,0.00,1.78,5.45,1.24
Alblasserdam,2010,8.29,0.00,2.08,4.91,1.29
Alblasserdam,2011,8.80,0.00,2.27,5.19,.
Alblasserdam,2012,9.45,0.00,2.70,5.34,.
Alblasserdam,2013,9.00,0.00,2.61,5.34,.
Alblasserdam,2014,8.78,0.00,2.30,5.46,.
Albrandswaard,2008,8.55,0.07,0.65,5.23,2.61
Albrandswaard,2009,8.52,0.07,0.55,5.15,2.75
Albrandswaard,2010,9.23,0.04,0.66,5.59,2.94
Albrandswaard,2011,8.73,0.05,0.52,5.29,2.88
Albrandswaard,2012,8.66,0.04,0.45,5.22,2.95
Albrandswaard,2013,9.33,0.05,0.43,5.88,2.98
